|  SP | White    | Black    | Chess960FEN                                                   |
| 122 | NQRNBBKR | nqrnbbkr | [FEN "nqrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQRNBBKR w - - 0 1"] |
| 123 | NQRNBKRB | nqrnbkrb | [FEN "nqrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQRNBKRB w - - 0 1"] |
| 124 | NBQRNKBR | nbqrnkbr | [FEN "nbqrnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRNKBR w - - 0 1"] |
| 125 | NQRBNKBR | nqrbnkbr | [FEN "nqrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBNKBR w - - 0 1"] |
| 126 | NQRNKBBR | nqrnkbbr | [FEN "nqrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRNKBBR w - - 0 1"] |
| 127 | NQRNKRBB | nqrnkrbb | [FEN "nqrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRNKRBB w - - 0 1"] |
| 128 | BBNRQNKR | bbnrqnkr | [FEN "bbnrqnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQNKR w - - 0 1"] |
| 129 | BNRBQNKR | bnrbqnkr | [FEN "bnrbqnkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQNKR w - - 0 1"] |
| 130 | BNRQNBKR | bnrqnbkr | [FEN "bnrqnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRQNBKR w - - 0 1"] |
| 131 | BNRQNKRB | bnrqnkrb | [FEN "bnrqnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQNKRB w - - 0 1"] |
| 132 | NBBRQNKR | nbbrqnkr | [FEN "nbbrqnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQNKR w - - 0 1"] |
| 133 | NRBBQNKR | nrbbqnkr | [FEN "nrbbqnkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQNKR w - - 0 1"] |
| 134 | NRBQNBKR | nrbqnbkr | [FEN "nrbqnbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBQNBKR w - - 0 1"] |
| 135 | NRBQNKRB | nrbqnkrb | [FEN "nrbqnkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQNKRB w - - 0 1"] |
| 136 | NBRQBNKR | nbrqbnkr | [FEN "nbrqbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBNKR w - - 0 1"] |
| 137 | NRQBBNKR | nrqbbnkr | [FEN "nrqbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBNKR w - - 0 1"] |
| 138 | NRQNBBKR | nrqnbbkr | [FEN "nrqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRQNBBKR w - - 0 1"] |
| 139 | NRQNBKRB | nrqnbkrb | [FEN "nrqnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRQNBKRB w - - 0 1"] |
| 140 | NBRQNKBR | nbrqnkbr | [FEN "nbrqnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQNKBR w - - 0 1"] |
| 141 | NRQBNKBR | nrqbnkbr | [FEN "nrqbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBNKBR w - - 0 1"] |
| 142 | NRQNKBBR | nrqnkbbr | [FEN "nrqnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQNKBBR w - - 0 1"] |
| 143 | NRQNKRBB | nrqnkrbb | [FEN "nrqnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQNKRBB w - - 0 1"] |
| 144 | BBNRNQKR | bbnrnqkr | [FEN "bbnrnqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNQKR w - - 0 1"] |
| 145 | BNRBNQKR | bnrbnqkr | [FEN "bnrbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNQKR w - - 0 1"] |
| 146 | BNRNQBKR | bnrnqbkr | [FEN "bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w - - 0 1"] |
| 147 | BNRNQKRB | bnrnqkrb | [FEN "bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w - - 0 1"] |
| 148 | NBBRNQKR | nbbrnqkr | [FEN "nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w - - 0 1"] |
| 149 | NRBBNQKR | nrbbnqkr | [FEN "nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w - - 0 1"] |
| 150 | NRBNQBKR | nrbnqbkr | [FEN "nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w - - 0 1"] |
| 151 | NRBNQKRB | nrbnqkrb | [FEN "nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w - - 0 1"] |
| 152 | NBRNBQKR | nbrnbqkr | [FEN "nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w - - 0 1"] |
| 153 | NRNBBQKR | nrnbbqkr | [FEN "nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w - - 0 1"] |
| 154 | NRNQBBKR | nrnqbbkr | [FEN "nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w - - 0 1"] |
| 155 | NRNQBKRB | nrnqbkrb | [FEN "nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w - - 0 1"] |
| 156 | NBRNQKBR | nbrnqkbr | [FEN "nbrnqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNQKBR w - - 0 1"] |
| 157 | NRNBQKBR | nrnbqkbr | [FEN "nrnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBQKBR w - - 0 1"] |
| 158 | NRNQKBBR | nrnqkbbr | [FEN "nrnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNQKBBR w - - 0 1"] |
