|  SP | White    | Black    | Chess960FEN                                                   |
| 529 | BRNBKQNR | brnbkqnr | [FEN "brnbkqnr/pppppppp/8/8/8/8/PPPPPPPP/BRNBKQNR w - - 0 1"] |
| 530 | BRNKQBNR | brnkqbnr | [FEN "brnkqbnr/pppppppp/8/8/8/8/PPPPPPPP/BRNKQBNR w - - 0 1"] |
| 531 | BRNKQNRB | brnkqnrb | [FEN "brnkqnrb/pppppppp/8/8/8/8/PPPPPPPP/BRNKQNRB w - - 0 1"] |
| 532 | RBBNKQNR | rbbnkqnr | [FEN "rbbnkqnr/pppppppp/8/8/8/8/PPPPPPPP/RBBNKQNR w - - 0 1"] |
| 533 | RNBBKQNR | rnbbkqnr | [FEN "rnbbkqnr/pppppppp/8/8/8/8/PPPPPPPP/RNBBKQNR w - - 0 1"] |
| 534 | RNBKQBNR | rnbkqbnr | [FEN "rnbkqbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBKQBNR w - - 0 1"] |
| 535 | RNBKQNRB | rnbkqnrb | [FEN "rnbkqnrb/pppppppp/8/8/8/8/PPPPPPPP/RNBKQNRB w - - 0 1"] |
| 536 | RBNKBQNR | rbnkbqnr | [FEN "rbnkbqnr/pppppppp/8/8/8/8/PPPPPPPP/RBNKBQNR w - - 0 1"] |
| 537 | RNKBBQNR | rnkbbqnr | [FEN "rnkbbqnr/pppppppp/8/8/8/8/PPPPPPPP/RNKBBQNR w - - 0 1"] |
| 538 | RNKQBBNR | rnkqbbnr | [FEN "rnkqbbnr/pppppppp/8/8/8/8/PPPPPPPP/RNKQBBNR w - - 0 1"] |
| 539 | RNKQBNRB | rnkqbnrb | [FEN "rnkqbnrb/pppppppp/8/8/8/8/PPPPPPPP/RNKQBNRB w - - 0 1"] |
| 540 | RBNKQNBR | rbnkqnbr | [FEN "rbnkqnbr/pppppppp/8/8/8/8/PPPPPPPP/RBNKQNBR w - - 0 1"] |
| 541 | RNKBQNBR | rnkbqnbr | [FEN "rnkbqnbr/pppppppp/8/8/8/8/PPPPPPPP/RNKBQNBR w - - 0 1"] |
| 542 | RNKQNBBR | rnkqnbbr | [FEN "rnkqnbbr/pppppppp/8/8/8/8/PPPPPPPP/RNKQNBBR w - - 0 1"] |
| 543 | RNKQNRBB | rnkqnrbb | [FEN "rnkqnrbb/pppppppp/8/8/8/8/PPPPPPPP/RNKQNRBB w - - 0 1"] |
| 544 | BBRNKNQR | bbrnknqr | [FEN "bbrnknqr/pppppppp/8/8/8/8/PPPPPPPP/BBRNKNQR w - - 0 1"] |
| 545 | BRNBKNQR | brnbknqr | [FEN "brnbknqr/pppppppp/8/8/8/8/PPPPPPPP/BRNBKNQR w - - 0 1"] |
| 546 | BRNKNBQR | brnknbqr | [FEN "brnknbqr/pppppppp/8/8/8/8/PPPPPPPP/BRNKNBQR w - - 0 1"] |
| 547 | BRNKNQRB | brnknqrb | [FEN "brnknqrb/pppppppp/8/8/8/8/PPPPPPPP/BRNKNQRB w - - 0 1"] |
| 548 | RBBNKNQR | rbbnknqr | [FEN "rbbnknqr/pppppppp/8/8/8/8/PPPPPPPP/RBBNKNQR w - - 0 1"] |
| 549 | RNBBKNQR | rnbbknqr | [FEN "rnbbknqr/pppppppp/8/8/8/8/PPPPPPPP/RNBBKNQR w - - 0 1"] |
| 550 | RNBKNBQR | rnbknbqr | [FEN "rnbknbqr/pppppppp/8/8/8/8/PPPPPPPP/RNBKNBQR w - - 0 1"] |
| 551 | RNBKNQRB | rnbknqrb | [FEN "rnbknqrb/pppppppp/8/8/8/8/PPPPPPPP/RNBKNQRB w - - 0 1"] |
| 552 | RBNKBNQR | rbnkbnqr | [FEN "rbnkbnqr/pppppppp/8/8/8/8/PPPPPPPP/RBNKBNQR w - - 0 1"] |
| 553 | RNKBBNQR | rnkbbnqr | [FEN "rnkbbnqr/pppppppp/8/8/8/8/PPPPPPPP/RNKBBNQR w - - 0 1"] |
| 554 | RNKNBBQR | rnknbbqr | [FEN "rnknbbqr/pppppppp/8/8/8/8/PPPPPPPP/RNKNBBQR w - - 0 1"] |
| 555 | RNKNBQRB | rnknbqrb | [FEN "rnknbqrb/pppppppp/8/8/8/8/PPPPPPPP/RNKNBQRB w - - 0 1"] |
| 556 | RBNKNQBR | rbnknqbr | [FEN "rbnknqbr/pppppppp/8/8/8/8/PPPPPPPP/RBNKNQBR w - - 0 1"] |
| 557 | RNKBNQBR | rnkbnqbr | [FEN "rnkbnqbr/pppppppp/8/8/8/8/PPPPPPPP/RNKBNQBR w - - 0 1"] |
| 558 | RNKNQBBR | rnknqbbr | [FEN "rnknqbbr/pppppppp/8/8/8/8/PPPPPPPP/RNKNQBBR w - - 0 1"] |
| 559 | RNKNQRBB | rnknqrbb | [FEN "rnknqrbb/pppppppp/8/8/8/8/PPPPPPPP/RNKNQRBB w - - 0 1"] |
| 560 | BBRNKNRQ | bbrnknrq | [FEN "bbrnknrq/pppppppp/8/8/8/8/PPPPPPPP/BBRNKNRQ w - - 0 1"] |
| 561 | BRNBKNRQ | brnbknrq | [FEN "brnbknrq/pppppppp/8/8/8/8/PPPPPPPP/BRNBKNRQ w - - 0 1"] |
| 562 | BRNKNBRQ | brnknbrq | [FEN "brnknbrq/pppppppp/8/8/8/8/PPPPPPPP/BRNKNBRQ w - - 0 1"] |
| 563 | BRNKNRQB | brnknrqb | [FEN "brnknrqb/pppppppp/8/8/8/8/PPPPPPPP/BRNKNRQB w - - 0 1"] |
| 564 | RBBNKNRQ | rbbnknrq | [FEN "rbbnknrq/pppppppp/8/8/8/8/PPPPPPPP/RBBNKNRQ w - - 0 1"] |
| 565 | RNBBKNRQ | rnbbknrq | [FEN "rnbbknrq/pppppppp/8/8/8/8/PPPPPPPP/RNBBKNRQ w - - 0 1"] |
| 566 | RNBKNBRQ | rnbknbrq | [FEN "rnbknbrq/pppppppp/8/8/8/8/PPPPPPPP/RNBKNBRQ w - - 0 1"] |
| 567 | RNBKNRQB | rnbknrqb | [FEN "rnbknrqb/pppppppp/8/8/8/8/PPPPPPPP/RNBKNRQB w - - 0 1"] |
| 568 | RBNKBNRQ | rbnkbnrq | [FEN "rbnkbnrq/pppppppp/8/8/8/8/PPPPPPPP/RBNKBNRQ w - - 0 1"] |
| 569 | RNKBBNRQ | rnkbbnrq | [FEN "rnkbbnrq/pppppppp/8/8/8/8/PPPPPPPP/RNKBBNRQ w - - 0 1"] |
| 570 | RNKNBBRQ | rnknbbrq | [FEN "rnknbbrq/pppppppp/8/8/8/8/PPPPPPPP/RNKNBBRQ w - - 0 1"] |
| 571 | RNKNBRQB | rnknbrqb | [FEN "rnknbrqb/pppppppp/8/8/8/8/PPPPPPPP/RNKNBRQB w - - 0 1"] |
| 572 | RBNKNRBQ | rbnknrbq | [FEN "rbnknrbq/pppppppp/8/8/8/8/PPPPPPPP/RBNKNRBQ w - - 0 1"] |
| 573 | RNKBNRBQ | rnkbnrbq | [FEN "rnkbnrbq/pppppppp/8/8/8/8/PPPPPPPP/RNKBNRBQ w - - 0 1"] |
| 574 | RNKNRBBQ | rnknrbbq | [FEN "rnknrbbq/pppppppp/8/8/8/8/PPPPPPPP/RNKNRBBQ w - - 0 1"] |
| 575 | RNKNRQBB | rnknrqbb | [FEN "rnknrqbb/pppppppp/8/8/8/8/PPPPPPPP/RNKNRQBB w - - 0 1"] |
| 576 | BBQRNKRN | bbqrnkrn | [FEN "bbqrnkrn/pppppppp/8/8/8/8/PPPPPPPP/BBQRNKRN w - - 0 1"] |
| 577 | BQRBNKRN | bqrbnkrn | [FEN "bqrbnkrn/pppppppp/8/8/8/8/PPPPPPPP/BQRBNKRN w - - 0 1"] |
| 578 | BQRNKBRN | bqrnkbrn | [FEN "bqrnkbrn/pppppppp/8/8/8/8/PPPPPPPP/BQRNKBRN w - - 0 1"] |
| 579 | BQRNKRNB | bqrnkrnb | [FEN "bqrnkrnb/pppppppp/8/8/8/8/PPPPPPPP/BQRNKRNB w - - 0 1"] |
| 580 | QBBRNKRN | qbbrnkrn | [FEN "qbbrnkrn/pppppppp/8/8/8/8/PPPPPPPP/QBBRNKRN w - - 0 1"] |
| 581 | QRBBNKRN | qrbbnkrn | [FEN "qrbbnkrn/pppppppp/8/8/8/8/PPPPPPPP/QRBBNKRN w - - 0 1"] |
| 582 | QRBNKBRN | qrbnkbrn | [FEN "qrbnkbrn/pppppppp/8/8/8/8/PPPPPPPP/QRBNKBRN w - - 0 1"] |
| 583 | QRBNKRNB | qrbnkrnb | [FEN "qrbnkrnb/pppppppp/8/8/8/8/PPPPPPPP/QRBNKRNB w - - 0 1"] |
| 584 | QBRNBKRN | qbrnbkrn | [FEN "qbrnbkrn/pppppppp/8/8/8/8/PPPPPPPP/QBRNBKRN w - - 0 1"] |
| 585 | QRNBBKRN | qrnbbkrn | [FEN "qrnbbkrn/pppppppp/8/8/8/8/PPPPPPPP/QRNBBKRN w - - 0 1"] |
| 586 | QRNKBBRN | qrnkbbrn | [FEN "qrnkbbrn/pppppppp/8/8/8/8/PPPPPPPP/QRNKBBRN w - - 0 1"] |
| 587 | QRNKBRNB | qrnkbrnb | [FEN "qrnkbrnb/pppppppp/8/8/8/8/PPPPPPPP/QRNKBRNB w - - 0 1"] |
| 588 | QBRNKRBN | qbrnkrbn | [FEN "qbrnkrbn/pppppppp/8/8/8/8/PPPPPPPP/QBRNKRBN w - - 0 1"] |
| 589 | QRNBKRBN | qrnbkrbn | [FEN "qrnbkrbn/pppppppp/8/8/8/8/PPPPPPPP/QRNBKRBN w - - 0 1"] |
| 590 | QRNKRBBN | qrnkrbbn | [FEN "qrnkrbbn/pppppppp/8/8/8/8/PPPPPPPP/QRNKRBBN w - - 0 1"] |
| 591 | QRNKRNBB | qrnkrnbb | [FEN "qrnkrnbb/pppppppp/8/8/8/8/PPPPPPPP/QRNKRNBB w - - 0 1"] |
| 592 | BBRQNKRN | bbrqnkrn | [FEN "bbrqnkrn/pppppppp/8/8/8/8/PPPPPPPP/BBRQNKRN w - - 0 1"] |
| 593 | BRQBNKRN | brqbnkrn | [FEN "brqbnkrn/pppppppp/8/8/8/8/PPPPPPPP/BRQBNKRN w - - 0 1"] |
| 594 | BRQNKBRN | brqnkbrn | [FEN "brqnkbrn/pppppppp/8/8/8/8/PPPPPPPP/BRQNKBRN w - - 0 1"] |
| 595 | BRQNKRNB | brqnkrnb | [FEN "brqnkrnb/pppppppp/8/8/8/8/PPPPPPPP/BRQNKRNB w - - 0 1"] |
| 596 | RBBQNKRN | rbbqnkrn | [FEN "rbbqnkrn/pppppppp/8/8/8/8/PPPPPPPP/RBBQNKRN w - - 0 1"] |
| 597 | RQBBNKRN | rqbbnkrn | [FEN "rqbbnkrn/pppppppp/8/8/8/8/PPPPPPPP/RQBBNKRN w - - 0 1"] |
| 598 | RQBNKBRN | rqbnkbrn | [FEN "rqbnkbrn/pppppppp/8/8/8/8/PPPPPPPP/RQBNKBRN w - - 0 1"] |
| 599 | RQBNKRNB | rqbnkrnb | [FEN "rqbnkrnb/pppppppp/8/8/8/8/PPPPPPPP/RQBNKRNB w - - 0 1"] |
| 600 | RBQNBKRN | rbqnbkrn | [FEN "rbqnbkrn/pppppppp/8/8/8/8/PPPPPPPP/RBQNBKRN w - - 0 1"] |
| 601 | RQNBBKRN | rqnbbkrn | [FEN "rqnbbkrn/pppppppp/8/8/8/8/PPPPPPPP/RQNBBKRN w - - 0 1"] |
| 602 | RQNKBBRN | rqnkbbrn | [FEN "rqnkbbrn/pppppppp/8/8/8/8/PPPPPPPP/RQNKBBRN w - - 0 1"] |
| 603 | RQNKBRNB | rqnkbrnb | [FEN "rqnkbrnb/pppppppp/8/8/8/8/PPPPPPPP/RQNKBRNB w - - 0 1"] |
| 604 | RBQNKRBN | rbqnkrbn | [FEN "rbqnkrbn/pppppppp/8/8/8/8/PPPPPPPP/RBQNKRBN w - - 0 1"] |
| 605 | RQNBKRBN | rqnbkrbn | [FEN "rqnbkrbn/pppppppp/8/8/8/8/PPPPPPPP/RQNBKRBN w - - 0 1"] |
| 606 | RQNKRBBN | rqnkrbbn | [FEN "rqnkrbbn/pppppppp/8/8/8/8/PPPPPPPP/RQNKRBBN w - - 0 1"] |
| 607 | RQNKRNBB | rqnkrnbb | [FEN "rqnkrnbb/pppppppp/8/8/8/8/PPPPPPPP/RQNKRNBB w - - 0 1"] |
| 608 | BBRNQKRN | bbrnqkrn | [FEN "bbrnqkrn/pppppppp/8/8/8/8/PPPPPPPP/BBRNQKRN w - - 0 1"] |
| 609 | BRNBQKRN | brnbqkrn | [FEN "brnbqkrn/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKRN w - - 0 1"] |
| 610 | BRNQKBRN | brnqkbrn | [FEN "brnqkbrn/pppppppp/8/8/8/8/PPPPPPPP/BRNQKBRN w - - 0 1"] |
| 611 | BRNQKRNB | brnqkrnb | [FEN "brnqkrnb/pppppppp/8/8/8/8/PPPPPPPP/BRNQKRNB w - - 0 1"] |
| 612 | RBBNQKRN | rbbnqkrn | [FEN "rbbnqkrn/pppppppp/8/8/8/8/PPPPPPPP/RBBNQKRN w - - 0 1"] |
| 613 | RNBBQKRN | rnbbqkrn | [FEN "rnbbqkrn/pppppppp/8/8/8/8/PPPPPPPP/RNBBQKRN w - - 0 1"] |
| 614 | RNBQKBRN | rnbqkbrn | [FEN "rnbqkbrn/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBRN w - - 0 1"] |
| 615 | RNBQKRNB | rnbqkrnb | [FEN "rnbqkrnb/pppppppp/8/8/8/8/PPPPPPPP/RNBQKRNB w - - 0 1"] |
| 616 | RBNQBKRN | rbnqbkrn | [FEN "rbnqbkrn/pppppppp/8/8/8/8/PPPPPPPP/RBNQBKRN w - - 0 1"] |
| 617 | RNQBBKRN | rnqbbkrn | [FEN "rnqbbkrn/pppppppp/8/8/8/8/PPPPPPPP/RNQBBKRN w - - 0 1"] |
| 618 | RNQKBBRN | rnqkbbrn | [FEN "rnqkbbrn/pppppppp/8/8/8/8/PPPPPPPP/RNQKBBRN w - - 0 1"] |
| 619 | RNQKBRNB | rnqkbrnb | [FEN "rnqkbrnb/pppppppp/8/8/8/8/PPPPPPPP/RNQKBRNB w - - 0 1"] |
| 620 | RBNQKRBN | rbnqkrbn | [FEN "rbnqkrbn/pppppppp/8/8/8/8/PPPPPPPP/RBNQKRBN w - - 0 1"] |
| 621 | RNQBKRBN | rnqbkrbn | [FEN "rnqbkrbn/pppppppp/8/8/8/8/PPPPPPPP/RNQBKRBN w - - 0 1"] |
| 622 | RNQKRBBN | rnqkrbbn | [FEN "rnqkrbbn/pppppppp/8/8/8/8/PPPPPPPP/RNQKRBBN w - - 0 1"] |
| 623 | RNQKRNBB | rnqkrnbb | [FEN "rnqkrnbb/pppppppp/8/8/8/8/PPPPPPPP/RNQKRNBB w - - 0 1"] |
| 624 | BBRNKQRN | bbrnkqrn | [FEN "bbrnkqrn/pppppppp/8/8/8/8/PPPPPPPP/BBRNKQRN w - - 0 1"] |
| 625 | BRNBKQRN | brnbkqrn | [FEN "brnbkqrn/pppppppp/8/8/8/8/PPPPPPPP/BRNBKQRN w - - 0 1"] |
| 626 | BRNKQBRN | brnkqbrn | [FEN "brnkqbrn/pppppppp/8/8/8/8/PPPPPPPP/BRNKQBRN w - - 0 1"] |
| 627 | BRNKQRNB | brnkqrnb | [FEN "brnkqrnb/pppppppp/8/8/8/8/PPPPPPPP/BRNKQRNB w - - 0 1"] |
| 628 | RBBNKQRN | rbbnkqrn | [FEN "rbbnkqrn/pppppppp/8/8/8/8/PPPPPPPP/RBBNKQRN w - - 0 1"] |
| 629 | RNBBKQRN | rnbbkqrn | [FEN "rnbbkqrn/pppppppp/8/8/8/8/PPPPPPPP/RNBBKQRN w - - 0 1"] |
| 630 | RNBKQBRN | rnbkqbrn | [FEN "rnbkqbrn/pppppppp/8/8/8/8/PPPPPPPP/RNBKQBRN w - - 0 1"] |
| 631 | RNBKQRNB | rnbkqrnb | [FEN "rnbkqrnb/pppppppp/8/8/8/8/PPPPPPPP/RNBKQRNB w - - 0 1"] |
| 632 | RBNKBQRN | rbnkbqrn | [FEN "rbnkbqrn/pppppppp/8/8/8/8/PPPPPPPP/RBNKBQRN w - - 0 1"] |
| 633 | RNKBBQRN | rnkbbqrn | [FEN "rnkbbqrn/pppppppp/8/8/8/8/PPPPPPPP/RNKBBQRN w - - 0 1"] |
| 634 | RNKQBBRN | rnkqbbrn | [FEN "rnkqbbrn/pppppppp/8/8/8/8/PPPPPPPP/RNKQBBRN w - - 0 1"] |
| 635 | RNKQBRNB | rnkqbrnb | [FEN "rnkqbrnb/pppppppp/8/8/8/8/PPPPPPPP/RNKQBRNB w - - 0 1"] |
| 636 | RBNKQRBN | rbnkqrbn | [FEN "rbnkqrbn/pppppppp/8/8/8/8/PPPPPPPP/RBNKQRBN w - - 0 1"] |
| 637 | RNKBQRBN | rnkbqrbn | [FEN "rnkbqrbn/pppppppp/8/8/8/8/PPPPPPPP/RNKBQRBN w - - 0 1"] |
| 638 | RNKQRBBN | rnkqrbbn | [FEN "rnkqrbbn/pppppppp/8/8/8/8/PPPPPPPP/RNKQRBBN w - - 0 1"] |
| 639 | RNKQRNBB | rnkqrnbb | [FEN "rnkqrnbb/pppppppp/8/8/8/8/PPPPPPPP/RNKQRNBB w - - 0 1"] |
| 640 | BBRNKRQN | bbrnkrqn | [FEN "bbrnkrqn/pppppppp/8/8/8/8/PPPPPPPP/BBRNKRQN w - - 0 1"] |
| 641 | BRNBKRQN | brnbkrqn | [FEN "brnbkrqn/pppppppp/8/8/8/8/PPPPPPPP/BRNBKRQN w - - 0 1"] |
| 642 | BRNKRBQN | brnkrbqn | [FEN "brnkrbqn/pppppppp/8/8/8/8/PPPPPPPP/BRNKRBQN w - - 0 1"] |
| 643 | BRNKRQNB | brnkrqnb | [FEN "brnkrqnb/pppppppp/8/8/8/8/PPPPPPPP/BRNKRQNB w - - 0 1"] |
| 644 | RBBNKRQN | rbbnkrqn | [FEN "rbbnkrqn/pppppppp/8/8/8/8/PPPPPPPP/RBBNKRQN w - - 0 1"] |
| 645 | RNBBKRQN | rnbbkrqn | [FEN "rnbbkrqn/pppppppp/8/8/8/8/PPPPPPPP/RNBBKRQN w - - 0 1"] |
| 646 | RNBKRBQN | rnbkrbqn | [FEN "rnbkrbqn/pppppppp/8/8/8/8/PPPPPPPP/RNBKRBQN w - - 0 1"] |
| 647 | RNBKRQNB | rnbkrqnb | [FEN "rnbkrqnb/pppppppp/8/8/8/8/PPPPPPPP/RNBKRQNB w - - 0 1"] |
| 648 | RBNKBRQN | rbnkbrqn | [FEN "rbnkbrqn/pppppppp/8/8/8/8/PPPPPPPP/RBNKBRQN w - - 0 1"] |
| 649 | RNKBBRQN | rnkbbrqn | [FEN "rnkbbrqn/pppppppp/8/8/8/8/PPPPPPPP/RNKBBRQN w - - 0 1"] |
| 650 | RNKRBBQN | rnkrbbqn | [FEN "rnkrbbqn/pppppppp/8/8/8/8/PPPPPPPP/RNKRBBQN w - - 0 1"] |
| 651 | RNKRBQNB | rnkrbqnb | [FEN "rnkrbqnb/pppppppp/8/8/8/8/PPPPPPPP/RNKRBQNB w - - 0 1"] |
| 652 | RBNKRQBN | rbnkrqbn | [FEN "rbnkrqbn/pppppppp/8/8/8/8/PPPPPPPP/RBNKRQBN w - - 0 1"] |
| 653 | RNKBRQBN | rnkbrqbn | [FEN "rnkbrqbn/pppppppp/8/8/8/8/PPPPPPPP/RNKBRQBN w - - 0 1"] |
| 654 | RNKRQBBN | rnkrqbbn | [FEN "rnkrqbbn/pppppppp/8/8/8/8/PPPPPPPP/RNKRQBBN w - - 0 1"] |
| 655 | RNKRQNBB | rnkrqnbb | [FEN "rnkrqnbb/pppppppp/8/8/8/8/PPPPPPPP/RNKRQNBB w - - 0 1"] |
| 656 | BBRNKRNQ | bbrnkrnq | [FEN "bbrnkrnq/pppppppp/8/8/8/8/PPPPPPPP/BBRNKRNQ w - - 0 1"] |
| 657 | BRNBKRNQ | brnbkrnq | [FEN "brnbkrnq/pppppppp/8/8/8/8/PPPPPPPP/BRNBKRNQ w - - 0 1"] |
| 658 | BRNKRBNQ | brnkrbnq | [FEN "brnkrbnq/pppppppp/8/8/8/8/PPPPPPPP/BRNKRBNQ w - - 0 1"] |
| 659 | BRNKRNQB | brnkrnqb | [FEN "brnkrnqb/pppppppp/8/8/8/8/PPPPPPPP/BRNKRNQB w - - 0 1"] |
| 660 | RBBNKRNQ | rbbnkrnq | [FEN "rbbnkrnq/pppppppp/8/8/8/8/PPPPPPPP/RBBNKRNQ w - - 0 1"] |
| 661 | RNBBKRNQ | rnbbkrnq | [FEN "rnbbkrnq/pppppppp/8/8/8/8/PPPPPPPP/RNBBKRNQ w - - 0 1"] |
| 662 | RNBKRBNQ | rnbkrbnq | [FEN "rnbkrbnq/pppppppp/8/8/8/8/PPPPPPPP/RNBKRBNQ w - - 0 1"] |
| 663 | RNBKRNQB | rnbkrnqb | [FEN "rnbkrnqb/pppppppp/8/8/8/8/PPPPPPPP/RNBKRNQB w - - 0 1"] |
| 664 | RBNKBRNQ | rbnkbrnq | [FEN "rbnkbrnq/pppppppp/8/8/8/8/PPPPPPPP/RBNKBRNQ w - - 0 1"] |
| 665 | RNKBBRNQ | rnkbbrnq | [FEN "rnkbbrnq/pppppppp/8/8/8/8/PPPPPPPP/RNKBBRNQ w - - 0 1"] |
| 666 | RNKRBBNQ | rnkrbbnq | [FEN "rnkrbbnq/pppppppp/8/8/8/8/PPPPPPPP/RNKRBBNQ w - - 0 1"] |
| 667 | RNKRBNQB | rnkrbnqb | [FEN "rnkrbnqb/pppppppp/8/8/8/8/PPPPPPPP/RNKRBNQB w - - 0 1"] |
| 668 | RBNKRNBQ | rbnkrnbq | [FEN "rbnkrnbq/pppppppp/8/8/8/8/PPPPPPPP/RBNKRNBQ w - - 0 1"] |
| 669 | RNKBRNBQ | rnkbrnbq | [FEN "rnkbrnbq/pppppppp/8/8/8/8/PPPPPPPP/RNKBRNBQ w - - 0 1"] |
| 670 | RNKRNBBQ | rnkrnbbq | [FEN "rnkrnbbq/pppppppp/8/8/8/8/PPPPPPPP/RNKRNBBQ w - - 0 1"] |
| 671 | RNKRNQBB | rnkrnqbb | [FEN "rnkrnqbb/pppppppp/8/8/8/8/PPPPPPPP/RNKRNQBB w - - 0 1"] |
| 672 | BBQRKNNR | bbqrknnr | [FEN "bbqrknnr/pppppppp/8/8/8/8/PPPPPPPP/BBQRKNNR w - - 0 1"] |
| 673 | BQRBKNNR | bqrbknnr | [FEN "bqrbknnr/pppppppp/8/8/8/8/PPPPPPPP/BQRBKNNR w - - 0 1"] |
| 674 | BQRKNBNR | bqrknbnr | [FEN "bqrknbnr/pppppppp/8/8/8/8/PPPPPPPP/BQRKNBNR w - - 0 1"] |
| 675 | BQRKNNRB | bqrknnrb | [FEN "bqrknnrb/pppppppp/8/8/8/8/PPPPPPPP/BQRKNNRB w - - 0 1"] |
| 676 | QBBRKNNR | qbbrknnr | [FEN "qbbrknnr/pppppppp/8/8/8/8/PPPPPPPP/QBBRKNNR w - - 0 1"] |
| 677 | QRBBKNNR | qrbbknnr | [FEN "qrbbknnr/pppppppp/8/8/8/8/PPPPPPPP/QRBBKNNR w - - 0 1"] |
| 678 | QRBKNBNR | qrbknbnr | [FEN "qrbknbnr/pppppppp/8/8/8/8/PPPPPPPP/QRBKNBNR w - - 0 1"] |
| 679 | QRBKNNRB | qrbknnrb | [FEN "qrbknnrb/pppppppp/8/8/8/8/PPPPPPPP/QRBKNNRB w - - 0 1"] |
| 680 | QBRKBNNR | qbrkbnnr | [FEN "qbrkbnnr/pppppppp/8/8/8/8/PPPPPPPP/QBRKBNNR w - - 0 1"] |
| 681 | QRKBBNNR | qrkbbnnr | [FEN "qrkbbnnr/pppppppp/8/8/8/8/PPPPPPPP/QRKBBNNR w - - 0 1"] |
| 682 | QRKNBBNR | qrknbbnr | [FEN "qrknbbnr/pppppppp/8/8/8/8/PPPPPPPP/QRKNBBNR w - - 0 1"] |
| 683 | QRKNBNRB | qrknbnrb | [FEN "qrknbnrb/pppppppp/8/8/8/8/PPPPPPPP/QRKNBNRB w - - 0 1"] |
| 684 | QBRKNNBR | qbrknnbr | [FEN "qbrknnbr/pppppppp/8/8/8/8/PPPPPPPP/QBRKNNBR w - - 0 1"] |
| 685 | QRKBNNBR | qrkbnnbr | [FEN "qrkbnnbr/pppppppp/8/8/8/8/PPPPPPPP/QRKBNNBR w - - 0 1"] |
| 686 | QRKNNBBR | qrknnbbr | [FEN "qrknnbbr/pppppppp/8/8/8/8/PPPPPPPP/QRKNNBBR w - - 0 1"] |
| 687 | QRKNNRBB | qrknnrbb | [FEN "qrknnrbb/pppppppp/8/8/8/8/PPPPPPPP/QRKNNRBB w - - 0 1"] |
| 688 | BBRQKNNR | bbrqknnr | [FEN "bbrqknnr/pppppppp/8/8/8/8/PPPPPPPP/BBRQKNNR w - - 0 1"] |
| 689 | BRQBKNNR | brqbknnr | [FEN "brqbknnr/pppppppp/8/8/8/8/PPPPPPPP/BRQBKNNR w - - 0 1"] |
| 690 | BRQKNBNR | brqknbnr | [FEN "brqknbnr/pppppppp/8/8/8/8/PPPPPPPP/BRQKNBNR w - - 0 1"] |
| 691 | BRQKNNRB | brqknnrb | [FEN "brqknnrb/pppppppp/8/8/8/8/PPPPPPPP/BRQKNNRB w - - 0 1"] |
| 692 | RBBQKNNR | rbbqknnr | [FEN "rbbqknnr/pppppppp/8/8/8/8/PPPPPPPP/RBBQKNNR w - - 0 1"] |
| 693 | RQBBKNNR | rqbbknnr | [FEN "rqbbknnr/pppppppp/8/8/8/8/PPPPPPPP/RQBBKNNR w - - 0 1"] |
| 694 | RQBKNBNR | rqbknbnr | [FEN "rqbknbnr/pppppppp/8/8/8/8/PPPPPPPP/RQBKNBNR w - - 0 1"] |
| 695 | RQBKNNRB | rqbknnrb | [FEN "rqbknnrb/pppppppp/8/8/8/8/PPPPPPPP/RQBKNNRB w - - 0 1"] |
| 696 | RBQKBNNR | rbqkbnnr | [FEN "rbqkbnnr/pppppppp/8/8/8/8/PPPPPPPP/RBQKBNNR w - - 0 1"] |
| 697 | RQKBBNNR | rqkbbnnr | [FEN "rqkbbnnr/pppppppp/8/8/8/8/PPPPPPPP/RQKBBNNR w - - 0 1"] |
| 698 | RQKNBBNR | rqknbbnr | [FEN "rqknbbnr/pppppppp/8/8/8/8/PPPPPPPP/RQKNBBNR w - - 0 1"] |
| 699 | RQKNBNRB | rqknbnrb | [FEN "rqknbnrb/pppppppp/8/8/8/8/PPPPPPPP/RQKNBNRB w - - 0 1"] |
| 700 | RBQKNNBR | rbqknnbr | [FEN "rbqknnbr/pppppppp/8/8/8/8/PPPPPPPP/RBQKNNBR w - - 0 1"] |
| 701 | RQKBNNBR | rqkbnnbr | [FEN "rqkbnnbr/pppppppp/8/8/8/8/PPPPPPPP/RQKBNNBR w - - 0 1"] |
| 702 | RQKNNBBR | rqknnbbr | [FEN "rqknnbbr/pppppppp/8/8/8/8/PPPPPPPP/RQKNNBBR w - - 0 1"] |
| 703 | RQKNNRBB | rqknnrbb | [FEN "rqknnrbb/pppppppp/8/8/8/8/PPPPPPPP/RQKNNRBB w - - 0 1"] |
| 704 | BBRKQNNR | bbrkqnnr | [FEN "bbrkqnnr/pppppppp/8/8/8/8/PPPPPPPP/BBRKQNNR w - - 0 1"] |
| 705 | BRKBQNNR | brkbqnnr | [FEN "brkbqnnr/pppppppp/8/8/8/8/PPPPPPPP/BRKBQNNR w - - 0 1"] |
| 706 | BRKQNBNR | brkqnbnr | [FEN "brkqnbnr/pppppppp/8/8/8/8/PPPPPPPP/BRKQNBNR w - - 0 1"] |
